Country,Indicator,F1980,F1981,F1982,F1983,F1984,F1985,F1986,F1987,F1988,F1989,F1990,F1991,F1992,F1993,F1994,F1995,F1996,F1997,F1998,F1999,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022
France,"Climate related disasters frequency, Number of Disasters: Wildfire",,,1,1,2,1,1,,,,,,,,,,,1,,1,,,,1,,1,,,,1,,,,,,,,1,,,,,
French Polynesia,"Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
French Polynesia,"Climate related disasters frequency, Number of Disasters: Landslide",,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,"Climate related disasters frequency, Number of Disasters: Storm",,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
French Polynesia,"Climate related disasters frequency, Number of Disasters: TOTAL",,,,2,,,,1,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,1,,,,,
Gabon,"Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Gabon,"Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,
Gabon,"Climate related disasters frequency, Number of Disasters: TOTAL",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,2,,1,,,,,,,,,,
"Gambia, The","Climate related disasters frequency, Number of Disasters: Drought",1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,,,,,,,
"Gambia, The","Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,,,,,,,,,,1,,,1,,1,,,,,,1,1,1,2,,,1,,,,1,,,,,1
"Gambia, The","Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,1,,,,,,,,,,1,,1,
"Gambia, The","Climate related disasters frequency, Number of Disasters: TOTAL",1,,,,,,,,,,,,,,,,1,,,1,,1,1,1,1,,,1,2,2,2,,1,1,,1,,1,,1,,1,1
Georgia,"Climate related disasters frequency, Number of Disasters: Drought",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Georgia,"Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,,,,,,,,,1,,3,,,,,,,2,1,1,,,,,1,1,2,1,1,,,1,1,1,1,1
Georgia,"Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,
Georgia,"Climate related disasters frequency, Number of Disasters: TOTAL",,,,,,,,,,,,,,,,1,,3,,,1,1,,,2,1,1,,,,,1,2,3,1,1,,,1,1,1,1,1
Germany,"Climate related disasters frequency, Number of Disasters: Extreme temperature",,,,,,,,,,,,,,,,,,1,,,,,,1,,2,1,,1,1,1,,2,,,,,,1,2,,,1
Germany,"Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,,,,,,1,1,2,,,1,,1,,,1,,,2,1,1,,1,1,1,,1,,,1,1,,,,1,
Germany,"Climate related disasters frequency, Number of Disasters: Landslide",,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Germany,"Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,,,,6,1,,2,2,2,1,,1,2,,1,3,2,1,1,3,2,2,1,2,,,3,2,,,2,1,1,1,2,3
Germany,"Climate related disasters frequency, Number of Disasters: TOTAL",,,,,,,,,,,6,1,1,3,4,2,1,2,1,4,,1,4,3,1,5,5,3,3,3,4,1,2,4,2,,1,3,2,3,1,3,4
Germany Dem Rep (former),"Climate related disasters frequency, Number of Disasters: Storm",,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany Dem Rep (former),"Climate related disasters frequency, Number of Disasters: TOTAL",,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany Fed Rep (former),"Climate related disasters frequency, Number of Disasters: Flood",,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany Fed Rep (former),"Climate related disasters frequency, Number of Disasters: Storm",,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany Fed Rep (former),"Climate related disasters frequency, Number of Disasters: TOTAL",,,,2,2,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany Fed Rep (former),"Climate related disasters frequency, Number of Disasters: Wildfire",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,"Climate related disasters frequency, Number of Disasters: Drought",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,"Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,,,1,,1,,,,1,,,,1,,1,2,,,,,1,1,2,2,2,,1,,1,1,1,1,2,2,2,1
Ghana,"Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Ghana,"Climate related disasters frequency, Number of Disasters: TOTAL",1,,,,,1,,,,1,,1,,,,1,,,,1,,1,2,,,,,1,1,2,2,2,,1,,1,1,2,1,2,2,2,1
Ghana,"Climate related disasters frequency, Number of Disasters: Wildfire",,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,"Climate related disasters frequency, Number of Disasters: Drought",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,"Climate related disasters frequency, Number of Disasters: Extreme temperature",,,,,,1,,1,1,,,1,,,,,,,,,1,,,,,,,1,,,,,1,,,,,1,,,,,
Greece,"Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,,,,,,,,1,,,1,1,,2,2,4,3,,,2,1,,,1,,1,,1,2,1,1,,,2,,
Greece,"Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,1,,,1,,,,,,,,,,,,1,,2,,1,,,,,,,,,,,,,1,,,
Greece,"Climate related disasters frequency, Number of Disasters: TOTAL",,,,1,2,2,,3,1,,2,1,,,1,1,,1,2,,5,2,5,3,2,,3,4,,2,1,,2,,1,2,1,2,1,1,2,1,1
Greece,"Climate related disasters frequency, Number of Disasters: Wildfire",,,,1,2,1,,1,,,,,,,,1,,,1,,2,,,,,,,2,,2,,,,,,,,,1,,,1,1
Grenada,"Climate related disasters frequency, Number of Disasters: Drought",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Grenada,"Climate related disasters frequency, Number of Disasters: Storm",1,,,,,,,,,,1,,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,
Grenada,"Climate related disasters frequency, Number of Disasters: TOTAL",1,,,,,,,,,,1,,,,,,,,,1,,,1,,1,,,,,,1,,,,,,,,,,,,
Guam,"Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,1,,,,,1,,,,,1,,,,,2,,2,,,,,,,,,,,,,,,,,,
Guam,"Climate related disasters frequency, Number of Disasters: TOTAL",,,,,,,,1,,,,,1,,,,,1,,,,,2,,2,,,,,,,,,,,,,,,,,,
Guatemala,"Climate related disasters frequency, Number of Disasters: Drought",,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,,1,,,1,,1,,,,1,,,,
Guatemala,"Climate related disasters frequency, Number of Disasters: Extreme temperature",,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,,,1,,,,,,,,
Guatemala,"Climate related disasters frequency, Number of Disasters: Flood",,,1,,,,,1,1,1,,,,,1,1,,,,1,2,,1,,,1,,2,2,1,1,3,,,1,2,,4,2,,2,3,1
Guatemala,"Climate related disasters frequency, Number of Disasters: Landslide",,,,,,,,,,,,,,,,,,,1,,,,1,1,,2,,,1,,1,1,,,,1,1,1,,,,,
Guatemala,"Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,,,,,,,,,,1,,1,,,1,1,,,1,,1,1,,3,1,,,1,,1,1,,2,3,,1
Guatemala,"Climate related disasters frequency, Number of Disasters: TOTAL",,,1,,,,,3,1,1,,,,,2,1,1,,2,1,2,3,3,2,,4,1,3,4,2,5,6,1,,4,3,2,6,3,2,5,3,2
Guatemala,"Climate related disasters frequency, Number of Disasters: Wildfire",,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Guinea,"Climate related disasters frequency, Number of Disasters: Drought",1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,"Climate related disasters frequency, Number of Disasters: Flood",,1,,,,,,,,,,,,1,,,,,,,,1,,,,,1,1,1,1,2,1,,1,,1,,1,,,1,1,1
Guinea,"Climate related disasters frequency, Number of Disasters: Landslide",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Guinea,"Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Guinea,"Climate related disasters frequency, Number of Disasters: TOTAL",1,1,,,,,,,,,,,,1,,,,,1,,1,1,,,1,,1,1,1,1,2,1,,1,,2,,1,,,1,1,1
Guinea,"Climate related disasters frequency, Number of Disasters: Wildfire",,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Guinea-Bissau,"Climate related disasters frequency, Number of Disasters: Drought",1,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,
Guinea-Bissau,"Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,1,,,,,,,,,,,,
Guinea-Bissau,"Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Guinea-Bissau,"Climate related disasters frequency, Number of Disasters: TOTAL",1,,,,,,,1,,,,,,1,,,,,1,,,,1,1,1,,1,,1,,1,,,,,,,,1,,,,
Guinea-Bissau,"Climate related disasters frequency, Number of Disasters: Wildfire",,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,"Climate related disasters frequency, Number of Disasters: Drought",,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,
Guyana,"Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,,,1,,,,,,,1,,,,,,,,,1,1,,1,,,,,,,1,,1,,,,1,1
Guyana,"Climate related disasters frequency, Number of Disasters: TOTAL",,,,,,,,,1,1,,,,,,,1,1,,,,,,,,1,1,,1,,1,,,,,1,,1,,,,1,1
Haiti,"Climate related disasters frequency, Number of Disasters: Drought",1,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,1,,1,,,,,,
Haiti,"Climate related disasters frequency, Number of Disasters: Flood",,,,,,,2,4,4,2,,,,1,,,2,,,1,2,1,1,3,1,3,2,4,,3,3,2,3,1,1,1,6,2,,2,,1,2
Haiti,"Climate related disasters frequency, Number of Disasters: Landslide",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,"Climate related disasters frequency, Number of Disasters: Storm",1,,,,,,,,1,,1,,,,1,,2,,1,,,1,1,1,2,5,1,3,4,,2,2,2,,,1,1,3,,,1,2,
Haiti,"Climate related disasters frequency, Number of Disasters: TOTAL",2,,,,,,2,4,5,3,1,,1,2,1,,4,,1,1,2,2,2,5,3,8,3,7,4,3,5,4,5,1,2,2,8,5,,2,1,3,2
Honduras,"Climate related disasters frequency, Number of Disasters: Drought",,,,,,,,,,,,,,,1,,,1,,,1,1,1,,1,,,,,1,,,1,,1,,,,1,,,,
Honduras,"Climate related disasters frequency, Number of Disasters: Flood",,1,,,1,,1,,2,,1,,,2,2,1,1,,,1,,,3,2,,1,1,2,1,,2,1,,,2,,1,3,1,,1,,2
Honduras,"Climate related disasters frequency, Number of Disasters: Storm",,,1,,,,,,1,,,,,,,1,2,,1,,,1,,,,4,,1,1,,2,,,,,,1,1,,,3,,1
Honduras,"Climate related disasters frequency, Number of Disasters: TOTAL",,1,1,,1,,1,,3,,1,,,2,3,2,3,1,1,1,2,2,4,2,1,5,1,3,2,1,4,1,1,,3,,2,4,2,,4,1,3
Honduras,"Climate related disasters frequency, Number of Disasters: Wildfire",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,
Hungary,"Climate related disasters frequency, Number of Disasters: Drought",,,,,,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Hungary,"Climate related disasters frequency, Number of Disasters: Extreme temperature",,,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,1,,,,1,,,,,,1,,,,
Hungary,"Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,,,,,,,,,,1,1,,2,1,1,1,,1,2,1,,,,1,,,1,1,,1,,,,,,
Hungary,"Climate related disasters frequency, Number of Disasters: Storm",,,,,1,,,,,,,,,,,,,,,1,,,,1,,1,1,,,,,,,1,,,,1,,1,,,
Hungary,"Climate related disasters frequency, Number of Disasters: TOTAL",,,,,1,,1,,,,,,1,,,,1,1,,3,1,2,1,2,1,4,2,1,1,,1,,1,2,1,,1,1,1,1,,,
Iceland,"Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,"Climate related disasters frequency, Number of Disasters: Landslide",,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,"Climate related disasters frequency, Number of Disasters: TOTAL",,,,1,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,"Climate related disasters frequency, Number of Disasters: Drought",,,1,,,,,1,,,,,,1,,,1,,,,1,,1,,,,,,,1,,,,,,1,,,1,,,,
India,"Climate related disasters frequency, Number of Disasters: Extreme temperature",2,1,1,,1,2,,1,2,2,2,,1,,1,1,,,2,1,1,2,2,2,,2,1,3,1,2,1,2,2,1,3,1,1,1,1,2,,,1
India,"Climate related disasters frequency, Number of Disasters: Flood",5,1,2,4,5,5,3,4,3,2,4,8,4,5,2,3,6,6,3,2,6,9,6,6,6,17,17,16,8,6,8,7,6,5,7,10,8,9,9,5,5,9,3
India,"Climate related disasters frequency, Number of Disasters: Landslide",1,,,1,,,2,,2,1,1,,1,1,,3,1,2,5,,3,3,,1,,2,,,1,2,1,,,,1,1,2,3,,,2,2,1
India,"Climate related disasters frequency, Number of Disasters: Storm",2,4,2,5,2,2,5,4,1,2,5,1,2,2,2,2,4,1,4,3,2,3,4,7,,4,2,1,1,6,7,3,1,5,5,6,3,5,11,5,4,5,2
India,"Climate related disasters frequency, Number of Disasters: TOTAL",10,6,6,10,9,9,10,10,8,7,12,9,8,9,5,9,12,9,14,7,13,17,13,16,6,25,20,20,11,17,17,12,9,11,16,19,15,18,23,12,11,16,7
India,"Climate related disasters frequency, Number of Disasters: Wildfire",,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,1,,,,
Indonesia,"Climate related disasters frequency, Number of Disasters: Drought",,,1,,1,,1,1,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,1,,,,,,,
Indonesia,"Climate related disasters frequency, Number of Disasters: Flood",1,3,3,3,3,3,4,5,2,2,2,2,1,2,6,5,5,,1,1,3,4,7,8,1,3,8,8,12,5,7,6,7,10,6,6,10,7,6,11,25,18,13
Indonesia,"Climate related disasters frequency, Number of Disasters: Landslide",1,1,2,1,,,,,1,1,,1,1,,,,1,,,2,4,4,1,4,4,2,3,2,1,2,1,2,2,2,2,3,2,2,2,2,1,2,
Indonesia,"Climate related disasters frequency, Number of Disasters: Storm",1,,1,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,,1,,,,1,
Indonesia,"Climate related disasters frequency, Number of Disasters: TOTAL",3,4,7,4,4,4,5,6,3,3,2,4,2,2,7,5,6,2,2,4,8,8,9,13,7,6,12,10,13,7,8,8,11,12,8,11,12,10,8,14,26,21,13
Indonesia,"Climate related disasters frequency, Number of Disasters: Wildfire",,,,,,,,,,,,1,,,1,,,1,1,1,1,,1,,,1,1,,,,,,,,,1,,,,1,,,
"Iran, Islamic Rep. of","Climate related disasters frequency, Number of Disasters: Drought",,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,
"Iran, Islamic Rep. of","Climate related disasters frequency, Number of Disasters: Flood",2,1,,,,,2,6,1,1,1,4,2,3,3,3,3,2,3,4,3,4,3,1,2,4,1,1,2,,,,1,,1,5,,2,1,3,6,1,3
"Iran, Islamic Rep. of","Climate related disasters frequency, Number of Disasters: Landslide",,,,,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,1,,
"Iran, Islamic Rep. of","Climate related disasters frequency, Number of Disasters: Storm",,1,,,,,,,,,,1,1,1,,,1,,,,1,,,,1,1,,1,1,,,,,,,,1,,,,,2,
"Iran, Islamic Rep. of","Climate related disasters frequency, Number of Disasters: TOTAL",2,2,,,,,2,6,1,1,2,5,3,4,3,3,4,2,4,5,4,4,4,2,3,5,1,2,3,,,,1,,1,5,1,2,1,3,7,4,3
"Iran, Islamic Rep. of","Climate related disasters frequency, Number of Disasters: Wildfire",,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Iraq,"Climate related disasters frequency, Number of Disasters: Drought",,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,
Iraq,"Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,1,1,,1,1,1,,1,,,1,1,1,2,
Iraq,"Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Iraq,"Climate related disasters frequency, Number of Disasters: TOTAL",,,,,,,,,,,,,,,,,,,1,,,,,,1,,2,,1,1,,1,1,1,,1,,,1,1,1,3,1
Ireland,"Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,1,,1,,,,,,1,,,,,
Ireland,"Climate related disasters frequency, Number of Disasters: Storm",,,,1,,,1,,,,3,1,,,,,1,,1,1,1,,,,1,1,,,,,,,,,1,1,,,1,,1,,1
Ireland,"Climate related disasters frequency, Number of Disasters: TOTAL",,,,1,,,1,1,,,3,1,,1,,,1,,1,1,1,,1,,1,1,,,,1,,1,,,1,1,,1,1,,1,,1
Isle of Man,"Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Isle of Man,"Climate related disasters frequency, Number of Disasters: TOTAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Israel,"Climate related disasters frequency, Number of Disasters: Drought",,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Israel,"Climate related disasters frequency, Number of Disasters: Extreme temperature",,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Israel,"Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,1,,1,,
Israel,"Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,1,,1,,,,,,,
Israel,"Climate related disasters frequency, Number of Disasters: TOTAL",,,,1,,,,,,,,1,1,,,1,,1,1,1,2,,,,,,,,,,2,,,1,,1,1,,1,,2,,
Israel,"Climate related disasters frequency, Number of Disasters: Wildfire",,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,1,,
Italy,"Climate related disasters frequency, Number of Disasters: Drought",,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,1,,,,,1,,,,,1
Italy,"Climate related disasters frequency, Number of Disasters: Extreme temperature",,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,1,,1,1,1,1,,,,,,2,1,,,
Italy,"Climate related disasters frequency, Number of Disasters: Flood",,,,,,1,1,1,,,,,2,,1,,2,,,,4,2,3,2,,,,,3,1,1,2,1,1,4,3,1,1,1,1,3,1,
Italy,"Climate related disasters frequency, Number of Disasters: Landslide",,,1,1,,,,2,,,,,,,,,1,,1,1,,,,,,,1,,,,,1,,,,,,,,,1,,1
Italy,"Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,3,,,1,,,1,1,,,1,,,,1,,,1,,1,,,1,1,,,,1,1,,2,1,3,3,,1
Italy,"Climate related disasters frequency, Number of Disasters: TOTAL",,,1,2,,1,1,6,,,3,,2,1,3,,3,2,2,2,4,3,4,3,1,1,2,2,3,4,3,4,3,1,5,4,1,4,4,5,7,2,3
Italy,"Climate related disasters frequency, Number of Disasters: Wildfire",,,,1,,,,,,,2,,,,1,,,,,1,,,,,,,,1,,1,,,,,,,,,,,,1,
Jamaica,"Climate related disasters frequency, Number of Disasters: Drought",,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,
Jamaica,"Climate related disasters frequency, Number of Disasters: Flood",,,,,,,1,1,1,,,1,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,
Jamaica,"Climate related disasters frequency, Number of Disasters: Storm",1,,,,,1,,,1,,,,,,1,,1,,,,,1,2,,2,3,,2,2,,1,,1,,,,1,1,,,,,
Jamaica,"Climate related disasters frequency, Number of Disasters: TOTAL",1,1,,,,1,1,1,2,,,1,,1,1,,1,,,,1,1,3,,2,3,1,2,2,,1,,1,,1,,1,1,,,,,
Japan,"Climate related disasters frequency, Number of Disasters: Extreme temperature",,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,1,1,,1,1,3,2,,1,2,,,1
Japan,"Climate related disasters frequency, Number of Disasters: Flood",1,,1,,,,1,,1,1,1,,,1,,1,,,1,2,1,1,,1,2,1,2,1,1,,1,1,1,1,,1,1,1,1,3,1,2,1
Japan,"Climate related disasters frequency, Number of Disasters: Landslide",,1,,2,1,,2,,,1,,,,2,,,1,1,1,,,,,,,,,,,2,,,,,1,,,,,,,1,
Japan,"Climate related disasters frequency, Number of Disasters: Storm",1,4,4,2,,2,2,1,,2,2,5,2,3,3,1,1,2,5,1,3,4,5,2,8,3,3,3,,2,,3,6,7,9,6,4,3,3,4,3,1,4
Japan,"Climate related disasters frequency, Number of Disasters: TOTAL",2,5,5,4,1,2,5,1,1,4,3,5,2,6,3,2,2,3,7,3,4,5,6,3,11,4,5,5,2,5,2,5,7,9,11,10,7,4,5,9,4,4,6
Japan,"Climate related disasters frequency, Number of Disasters: Wildfire",,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Jordan,"Climate related disasters frequency, Number of Disasters: Drought",,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
Jordan,"Climate related disasters frequency, Number of Disasters: Extreme temperature",,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Jordan,"Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,
Jordan,"Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,,,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,
Jordan,"Climate related disasters frequency, Number of Disasters: TOTAL",,,,,,,,1,,,,2,1,,,,,1,,1,3,,1,,,,,,,,,,,,,,,,2,,,,
"Kazakhstan, Rep. of","Climate related disasters frequency, Number of Disasters: Drought",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Kazakhstan, Rep. of","Climate related disasters frequency, Number of Disasters: Extreme temperature",,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,
"Kazakhstan, Rep. of","Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,,,1,,2,1,1,,1,1,,1,1,,1,,
"Kazakhstan, Rep. of","Climate related disasters frequency, Number of Disasters: Landslide",,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
"Kazakhstan, Rep. of","Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kazakhstan, Rep. of","Climate related disasters frequency, Number of Disasters: TOTAL",,,,,,,,,,,,,,1,,1,,2,,,1,2,,,1,1,,,1,,2,1,2,,1,1,,1,1,,1,1,
"Kazakhstan, Rep. of","Climate related disasters frequency, Number of Disasters: Wildfire",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,"Climate related disasters frequency, Number of Disasters: Drought",,,,1,,,,,,,,1,,,1,,1,,,1,,,,,1,1,,,1,,1,1,,,1,,1,,,1,1,,
Kenya,"Climate related disasters frequency, Number of Disasters: Flood",,,1,,,,,,,,1,,,,,,1,1,1,,,1,4,2,2,3,4,3,6,2,2,3,1,4,,3,2,1,3,1,1,1,
Kenya,"Climate related disasters frequency, Number of Disasters: Landslide",,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,1,,,,,,,,,1,,,
Kenya,"Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,"Climate related disasters frequency, Number of Disasters: TOTAL",,,1,1,,,,,1,,1,1,,,1,,2,1,1,1,,1,5,2,3,4,4,4,8,2,4,4,1,4,1,3,3,1,3,3,2,1,
Kiribati,"Climate related disasters frequency, Number of Disasters: Drought",,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Kiribati,"Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,
Kiribati,"Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Kiribati,"Climate related disasters frequency, Number of Disasters: TOTAL",,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,1,1,,,,,,,
"Korea, Dem. People's Rep. of","Climate related disasters frequency, Number of Disasters: Drought",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,1,,,
"Korea, Dem. People's Rep. of","Climate related disasters frequency, Number of Disasters: Extreme temperature",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
"Korea, Dem. People's Rep. of","Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,2,,,,,,,,2,1,1,1,1,,2,1,,2,1,2,1,,,2,2,1,1,,1,2,,1,,1,1,
"Korea, Dem. People's Rep. of","Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,,,,,,,1,,,,1,,,1,,1,,,,,1,,,1,1,1,,,,,,1,1,,,
"Korea, Dem. People's Rep. of","Climate related disasters frequency, Number of Disasters: TOTAL",,,,,,,,2,,,,,,1,,2,1,2,1,1,1,2,2,,2,1,2,2,,,3,3,3,1,,2,2,1,3,2,1,1,
"Korea, Rep. of","Climate related disasters frequency, Number of Disasters: Drought",,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep. of","Climate related disasters frequency, Number of Disasters: Extreme temperature",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1
