Country,Indicator,F1980,F1981,F1982,F1983,F1984,F1985,F1986,F1987,F1988,F1989,F1990,F1991,F1992,F1993,F1994,F1995,F1996,F1997,F1998,F1999,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022
Brazil,"Climate related disasters frequency, Number of Disasters: Flood",2,2,,2,5,2,1,2,3,4,2,1,4,,,3,1,3,5,1,4,3,2,5,2,2,2,3,4,7,3,8,2,5,4,4,2,1,2,7,5,8,11
Brazil,"Climate related disasters frequency, Number of Disasters: Landslide",,,,1,,,,,,3,,1,1,,,2,3,,,1,1,,2,,,,,1,,1,,,,,,1,,,1,,,,
Brazil,"Climate related disasters frequency, Number of Disasters: Storm",1,,1,,1,1,,,,1,,,,,1,,,1,,,,1,,,1,1,,,1,1,,,,1,,1,,,,,1,,
Brazil,"Climate related disasters frequency, Number of Disasters: TOTAL",3,2,1,4,6,4,1,3,5,8,2,2,5,,3,5,4,4,8,3,6,5,5,5,5,4,2,5,5,9,5,8,3,6,5,6,2,1,3,8,7,9,12
Brazil,"Climate related disasters frequency, Number of Disasters: Wildfire",,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,1,,,
British Virgin Islands,"Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,
British Virgin Islands,"Climate related disasters frequency, Number of Disasters: TOTAL",,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,
Brunei Darussalam,"Climate related disasters frequency, Number of Disasters: TOTAL",,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,"Climate related disasters frequency, Number of Disasters: Wildfire",,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,"Climate related disasters frequency, Number of Disasters: Drought",,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,"Climate related disasters frequency, Number of Disasters: Extreme temperature",,,,,,,,,,,,,,,,,,,1,,2,,,,,1,,1,1,,1,,2,,,,,,,,,,
Bulgaria,"Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,,,,,,,,,,,1,,,,,1,,,5,2,3,,,1,,1,,4,1,,,1,,,1,1
Bulgaria,"Climate related disasters frequency, Number of Disasters: Storm",,1,,,,,,,,,,,,1,,,,,,1,,1,,,,1,,,,,,,,,1,,,,,,,,
Bulgaria,"Climate related disasters frequency, Number of Disasters: TOTAL",,1,,1,,,,,,,,,,1,,,,1,1,1,4,2,1,,,7,2,6,1,,2,,3,,5,1,,,1,,,2,1
Bulgaria,"Climate related disasters frequency, Number of Disasters: Wildfire",,,,,,,,,,,,,,,,,,,,,1,1,,,,,,2,,,,,,,,,,,,,,1,
Burkina Faso,"Climate related disasters frequency, Number of Disasters: Drought",1,,,,,,,,1,,1,,,,,1,,,1,,,1,,,,,,,,,,1,,,1,,,,,,1,,1
Burkina Faso,"Climate related disasters frequency, Number of Disasters: Flood",,,,,1,1,,,1,,,,,,1,,,,,1,,,,1,,,2,1,2,2,1,,1,1,,1,1,1,,,3,,
Burkina Faso,"Climate related disasters frequency, Number of Disasters: TOTAL",1,,,,1,1,,,2,,1,,,,1,1,,,1,1,,1,,1,,,2,1,2,2,1,1,1,1,1,1,1,1,,,4,,1
Burundi,"Climate related disasters frequency, Number of Disasters: Drought",,,,,,,,,,,,,,,,,,,,1,,,,1,,1,,,1,1,1,,,,,,,,,,,,
Burundi,"Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,,,1,,,,,,,,,,,1,,2,,1,1,6,2,2,1,2,1,,,1,1,,,3,2,2,1,
Burundi,"Climate related disasters frequency, Number of Disasters: Landslide",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,
Burundi,"Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,,,,,,,,,,,,,1,,,,,2,,1,,,,1,1,,,,,,,,,1,,
Burundi,"Climate related disasters frequency, Number of Disasters: TOTAL",,,,,,,,,,1,,,,,,,,,,2,1,,2,1,3,2,7,2,3,2,4,2,,,1,2,,1,3,3,3,1,
Cabo Verde,"Climate related disasters frequency, Number of Disasters: Drought",1,,,,,,,,,,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,1
Cabo Verde,"Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,
Cabo Verde,"Climate related disasters frequency, Number of Disasters: Storm",,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Cabo Verde,"Climate related disasters frequency, Number of Disasters: TOTAL",1,,1,,1,,,,,,,,1,,,,,,1,,,,1,,,,,,,1,,,,,,1,,1,,,1,,1
Cambodia,"Climate related disasters frequency, Number of Disasters: Drought",,,,,,,,1,,,,,,,1,,,,,,,1,1,,,1,,,,,,,,,,,1,,,,,,
Cambodia,"Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,,,,,1,,,1,,1,,,2,1,1,1,,1,1,2,1,,,1,1,1,1,1,1,,,1,1,,3,1
Cambodia,"Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,1,,,,,2,1,1
Cambodia,"Climate related disasters frequency, Number of Disasters: TOTAL",,,,,,,,1,,,,1,,,2,,1,1,,2,1,2,2,,1,2,2,1,,2,1,1,1,1,1,2,1,,1,1,2,4,2
Cameroon,"Climate related disasters frequency, Number of Disasters: Drought",,,,,,,,,,,1,,,,,,,,,,,1,,,,1,,,,,,,1,,,,,,,,,,1
Cameroon,"Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,,1,,,1,,,1,,,,,1,1,1,,,,1,,1,1,,1,,2,1,1,1,,1,,,1,,1
Cameroon,"Climate related disasters frequency, Number of Disasters: Landslide",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,2
